---,LOKASI,TERMINAL,ZONA,IP Address,MINI PC,,,,,,,,,,,MONITOR,,,,,,,,,
,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pengadaan,Kondisi (%),Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pengadaan,Kondisi (%),Status Garansi,
263,Boarding Gate ABR Luar 7B T3-INT,3U-INT,Boarding,172.17.151.24,China,GIGABYTE,GB-BSi3H-6100,1706631341,"1 HDMI, 1 LAN",120 GB,4 GB,Ubuntu,2016,Normal 70%,,China,BOE,LDV43AAAXX,D430132AA310200046,"2 HDMI, 1VGA","43""",2024,Normal 100%,15-01-2026,
264,Boarding Gate ABR Dalam 7A T3-INT,3U-INT,Boarding,172.17.151.25,China,HP,Thin Client Elite t655,8CG437277M,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,BOE,LDV43AAAXX,D430132AA310200001,"3 HDMI, 1VGA","43""",2021,Normal 100%,15-01-2026,
265,Boarding Gate ABR Dalam 7B T3-INT,3U-INT,Boarding,172.17.151.26,China,HP,Thin Client Elite t655,8CG3452KDW,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-B,111INCN5G267,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,30-01-2026,
266,Boarding Gate ABR Dalam 7R T3-INT,3U-INT,Boarding,172.17.151.27,China,HP,Thin Client t640,8CN23001V8,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-09-2025,Korea,LG,43SM5KE-B,111INQU5G076,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,05-07-2026,
267,Boarding Gate ABR Luar 8A T3-INT,3U-INT,Boarding,172.17.151.29,China,HP,Thin Client Elite t655,8CG5063T87,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 60%,,Korea,LG,43SM5KE-B,106INFK3B251,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
268,Boarding Gate ABR Luar 8B T3-INT,3U-INT,Boarding,172.17.151.30,China,HP,Thin Client t640,8CIN23001TY,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-B,106INCN3B187,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
269,Boarding Gate ABR Luar 8C T3-INT,3U-INT,Boarding,172.17.151.31,China,HP,Thin Client Elite t655,8CG42730YF,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,,,Korea,LG,43SM5KE-B,110INTX8D809,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
270,Boarding Gate ABR Luar 8R T3-INT,3U-INT,Boarding,172.17.151.32,China,HP,Thin Client Elite t655,8CG5080SDJ,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2025,,,Korea,LG,43SM5KE-B,111INYD5G266,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
271,Boarding Gate ABR Dalam 8A T3-INT,3U-INT,Boarding,172.17.151.33,China,HP,Thin Client Elite t655,8CG437278D,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 60%,,Korea,LG,43LT340C0TB,003INTX6K217,"3 HDMI, 2DP, 1DVI","43""",2020,Normal 90%,,
272,Boarding Gate ABR Dalam 8B T3-INT,3U-INT,Boarding,172.17.151.34,China,HP,Thin Client t640,8CN2490GQP,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2024,Korea,LG,43UN731C01C,109INZY1U933,"3 HDMI, 2DP, 1DVI","40""",2016,Normal 90%,,
273,Boarding Gate ABR Dalam 8C T3-INT,3U-INT,Boarding,172.17.151.35,China,HP,Thin Client t640,8CN2410FZB,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-12-2025,Korea,LG,43P751C0TC,003INBS6K157,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
274,Boarding Gate ABR Dalam 8R T3-INT,3U-INT,Boarding,172.17.151.36,China,INTELNUC,NUC5CPYH,G6BN735006FV,"1 HDMI, 1VGA",120 GB,4 GB,Windows 10,2018,Normal 50%,,Korea,LG,43LT340C0TB,001INSE4G582,"3 HDMI, 2DP, 1DVI","43""",2018,Normal 90%,,
275,Boarding Gate ABR Luar 9A T3-INT,3U-INT,Boarding,172.17.151.38,China,CYCRONE,MPC X3700,E000141200054,"1 HDMI, 1 VGA, 1 LAN",8 GB,4 GB,Puppy,2016,Normal 90%,,Korea,LG,43SM5KE-B,106INFK4B427,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,15-01-2026,
276,Boarding Gate ABR Luar 9B T3-INT,3U-INT,Boarding,172.17.151.39,China,HP,Thin Client t640,8CN32508GJ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2016,Normal 90%,,Korea,LG,43SM5KE-B,106INEW3B196,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
277,Boarding Gate ABR Luar 9C T3-INT,3U-INT,Boarding,172.17.151.40,China,GIGABYTE,GB-BSi3H-6100,1633630384,"1 HDMI, 1 LAN",120 GB,4 GB,Ubuntu,2016,Normal 90%,,Korea,LG,43SM5KE-B,110INFK8D795,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,1
278,Boarding Gate ABR Dalam 9A T3-INT,3U-INT,Boarding,172.17.151.41,China,HP,Thin Client t640,8CN2390F7W,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-11-2025,Korea,LG,43UH5F,110INZY8D805,"1 HDMI, 1 RGB","43""",2021,Normal 90%,15-01-2026,
279,Boarding Gate ABR Dalam 9B T3-INT,3U-INT,Boarding,172.17.151.42,China,HP,Thin Client t640,8CN2490GR6,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Korea,LG,43UH5F,101INXJ00578,"1 HDMI, 1 RGB","43""",2021,Normal 90%,,
280,Boarding Gate ABR Dalam 9C T3-INT,3U-INT,Boarding,172.17.151.43,China,HP,Thin Client t640,8CN0480K32,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Korea,LG,43UH5F,002INJE39460,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,1
281,Boarding Gate ABR Dalam 9R T3-INT,3U-INT,Boarding,172.17.151.44,China,HP,Thin Client t640,8CN030066N,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-09-2023,China,BOE,LDV43AAAXXID,D430132AA310200117,2 HDMI,"43""",2025,Normal 100%,,
282,Boarding Gate ABR Luar 10A T3-INT,3U-INT,Boarding,172.17.151.46,China,GIGABYTE,GB-BSi3H-6100,1633630396,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE,110INRC8D990,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,15-01-2026,
283,Boarding Gate ABR Luar 10B T3-INT,3U-INT,Boarding,172.17.151.47,China,HP,Thin Client t640,1706631331,"1 HDMI, 1 LAN",120 GB,4 GB,Ubuntu,2016,,,Korea,LG,43SM5KE-B,110INMF8E019,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,15-01-2026,
284,Boarding Gate ABR Luar 10C T3-INT,3U-INT,Boarding,172.17.151.48,China,HP,Thin Client t640,8CN32508KN,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,BOE,LDV43AAAXX,D430132AA310200028,"2 HDMI, 1VGA","43""",2025,Normal 100%,,
285,Boarding Gate ABR Dalam 10A T3-INT,3U-INT,Boarding,172.17.151.49,China,HP,Thin Client t640,8CN05302HV,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2024,Korea,LG,43SM5KE-B,209INXJAP442,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,,
286,Boarding Gate ABR Dalam 10B T3-INT,3U-INT,Boarding,172.17.151.50,China,HP,Thin Client Elite t655,8CG42730Y7,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,15-09-2025,Korea,SAMSUNG,BZ01,BZ8734CM201227M,"1HDMI, 1 VGA","43""",2019,Normal 90%,,
287,Boarding Gate ABR Dalam 10C T3-INT,3U-INT,Boarding,172.17.151.51,China,HP,Thin Client Elite t655,8CG44530P8,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 50%,22-04-2021,Korea,LG,43SM5KE,110INFK8D747,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
288,Boarding Gate ABR Dalam 10R T3-INT,3U-INT,Boarding,172.17.151.52,China,HP,Thin Client t640,8CN241OFZ5,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,SAMSUNG,UA40C5000QR,E5G43RHB100782K,"1 HDMI, 1DVI","40""",2016,Normal 50%,,
289,Boarding Gate ABR Depan 11A T3-DOM,3U-DOM,Boarding,172.17.149.61,China,HP,Thin Client t640,8CN1010LP4,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea,LG,43SM5KE,106INMF3V731,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,15-01-2026,
290,Boarding Gate ABR Depan 11B T3-DOM,3U-DOM,Boarding,172.17.149.62,China,HP,Thin Client Elite t655,8CG42730Y0,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea,LG,43SM5KE,106INGQ3V727,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,15-01-2026,
291,Boarding Gate ABR Dalam 11A T3-DOM,3U-DOM,Boarding,172.17.149.63,China,HP,Thin Client t640,8CN2390F71,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,Korea,LG,43UM3F,111INNG5G183,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,05-07-2026,
292,Boarding Gate ABR Dalam 11B T3-DOM,3U-DOM,Boarding,172.17.149.64,China,HP,Thin Client t640,8CN23001TZ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,15-11-2025,Korea,LG,43UP751C0TC,209INTXAP481,2 HDMI,"43""",2022,Normal 90%,,
293,Boarding Gate ABR Dalam 11R T3-DOM,3U-DOM,Boarding,172.17.149.65,China,HP,Thin Client t640,8CN32508GM,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE,111INTX5G321,2 HDMI,"43""",2022,Normal 90%,,
294,Boarding Gate ABR Depan 12A T3-DOM,3U-DOM,Boarding,172.17.149.67,China,HP,Thin Client t640,8CN2490GQ7,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,03-02-2026,Korea,LG,43SM5KE,106INRC3B230,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,15-01-2026,
295,Boarding Gate ABR Depan 12B T3-DOM,3U-DOM,Boarding,172.17.149.68,China,HP,Thin Client Elite t655,8CG3452KDF,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-01-2027,Korea,LG,43SM5KE,106INEW3B244,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,15-01-2026,
296,Boarding Gate ABR Dalam 12A T3-DOM,3U-DOM,Boarding,172.17.149.69,China,HP,Thin Client Elite t655,8CG44530PG,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43UH5F,111INJL5G260,"1 HDMI, 1 RGB","40""",2014,Normal 70%,05-07-2026,
297,Boarding Gate ABR Dalam 12B T3-DOM,3U-DOM,Boarding,172.17.149.70,China,HP,Thin Client t640,8CN1010LP8,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea,LG,43UH5F,111INAR5G304 ,"1 HDMI, 1 RGB","43""",2021,95%,05-07-2026,
298,Boarding Gate ABR Dalam 12R T3-DOM,3U-DOM,Boarding,172.17.149.71,China,HP,Thin Client Elite t655,8CG437278G,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43UP751C0TC,209INRCAP466,2 HDMI,"43""",2022,Normal 90%,,
299,Boarding Gate ABR Depan 13A T3-DOM,3U-DOM,Boarding,172.17.149.73,China,HP,Thin Client Elite t655,8CG4372792,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,203INCN24395,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,15-01-2026,
300,Boarding Gate ABR Depan 13B T3-DOM,3U-DOM,Boarding,172.17.149.74,China,HP,Thin Client Elite t655,8CG437278W,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,203INKH1M157,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
301,Boarding Gate ABR Depan 13R T3-DOM,3U-DOM,Boarding,172.17.149.75,China,HP,Thin Client Elite t655,8CG3452KDJ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-01-2027,Cina,BOE,LDV43AAAXX,D430132AA310200002,"1HDMI, 1 VGA","43""",2024,Normal 100%,,
302,Boarding Gate ABR Dalam 13A T3-DOM,3U-DOM,Boarding,172.17.149.76,China,HP,Thin Client Elite t655,8CG40935ZR,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,111INQU5G028,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,05-07-2026,
303,Boarding Gate ABR Dalam 13B T3-DOM,3U-DOM,Boarding,172.17.149.77,China,HP,Thin Client Elite t655,8CG42730XN,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43UP751C0TC,209INZYAP477,2 HDMI,"43""",2022,Normal 94%,,
304,Boarding Gate ABR Dalam 13R T3-DOM,3U-DOM,Boarding,172.17.149.78,China,HP,Thin Client t640,8CN2390F86,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-11-2025,Korea,LG,43SM5KE-B,111INZY5G269,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,05-07-2026,
305,Boarding Gate ABR Depan 14A T3-DOM,3U-DOM,Boarding,172.17.149.80,China,HP,Thin Client Elite t655,8CG3452KDD,"3 DP, 6 USB Type A, 1 LAN",32 GB,2 GB,Windows,2023,Normal 45%,01-01-2027,Korea,LG,43UH5F,111INWA5G137,"1 HDMI, 1 RGB","43""",2023,Normal 95%,15-01-2026,
306,Boarding Gate ABR Depan 14B T3-DOM,3U-DOM,Boarding,172.17.149.81,China,HP,Thin Client t640,8CN32508LB,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-11-2026,Korea,LG,43SM5KE-B,106INDP3B218,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
307,Boarding Gate ABR Depan 14R T3-DOM,3U-DOM,Boarding,172.17.149.82,China,HP,Thin Client t640,8CN32508LJ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,106INKH3B245,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,15-01-2026,
308,Boarding Gate ABR Dalam 14A T3-DOM,3U-DOM,Boarding,172.17.149.83,China,HP,Thin Client t640,8CN2390F7P,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,15-11-2026,Korea,LG,43SM5KE-B,106INQU3B260,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,08-12-2025,
309,Boarding Gate ABR Dalam 14B T3-DOM,3U-DOM,Boarding,172.17.149.84,China,HP,Thin Client t640,8CN2410FZF,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-12-2025,Korea,LG,43SM5KE,111INVMAV695,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
310,Boarding Gate ABR Dalam 14R T3-DOM,3U-DOM,Boarding,172.17.149.85,China,HP,Thin Client t640,8CN25202GM,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-02-2026,Korea,LG,43UP751C0TC,209INSEAP478,2 HDMI,"43""",2022,Normal 94%,,
311,Boarding Gate ABR Depan 15A T3-DOM,3U-DOM,Boarding,172.17.149.87,China,GIGABYTE,GB-BSi3H-6100,1624630594,"1 HDMI, 1VGA",120 GB,4 GB,Ubuntu,2017,Normal 50%,,Korea,LG,43SM5KE-B,110INKFK8D651,,"43""",2023,Normal 95%,,
312,Boarding Gate ABR Depan 15B T3-DOM,3U-DOM,Boarding,172.17.149.88,China,HP,Thin Client t640,8CN0480K3C,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,19-01-2024,Korea,LG,43SM5KE-B,203INWA1L713,,"43""",2023,Normal 95%,15-01-2026,
313,Boarding Gate ABR Dalam 15A T3-DOM,3U-DOM,Boarding,172.17.149.89,China,HP,Thin Client t640,8CN05302HG,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-02-2024,Korea,LG,43SM5KD,803KCASRN384,"3 HDMI, 2DP, 1DVI","43""",,Normal 90%,,
314,Boarding Gate ABR Dalam 15B T3-DOM,3U-DOM,Boarding,172.17.149.90,China,HP,Thin Client Elite t655,A01E0B02E5A0,"1 HDMI, 1 LAN",32 GB,2 GB,Windows,2017,Normal 50%,,Korea,LG,43UH5F-HJ,101INAR00600,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
315,Boarding Gate ABR Dalam 15R T3-DOM,3U-DOM,Boarding,172.17.149.91,China,HP,Thin Client t640,8CN2390F7G,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,Korea,LG,43SM5KE-B,111INXJ5G138,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
316,Boarding Gate ABR Depan 16A T3-DOM,3U-DOM,Boarding,172.17.149.94,China,HP,Thin Client Elite t655,8CG3452KF6,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-02-2024,Korea,LG,43SM5KE-B,203INPT24464,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,,
317,Boarding Gate ABR Depan 16B T3-DOM,3U-DOM,Boarding,172.17.149.97,China,GIGABYTE,GB-BSi3H-6100,8CN2390F77,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,203INVM24463,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,,
318,Boarding Gate ABR Depan 16R T3-DOM,3U-DOM,Boarding,172.17.149.93,China,GIGABYTE,GB-BSi3H-6100,1706631338,"1 HDMI, 1 LAN",120 GB,4 GB,Ubuntu,2016,Normal 50%,,Korea,LG,43SM5KE-B,106INQU3B212,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 95%,15-01-2026,
319,Boarding Gate ABR Dalam 16A T3-DOM,3U-DOM,Boarding,172.17.149.96,China,HP,Thin Client Elite t655,8CG44530P9,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-Bj,106INKH3B197,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,15-01-2026,
320,Boarding Gate ABR Dalam 16B T3-DOM,3U-DOM,Boarding,172.17.149.97,China,HP,Thin Client t640,8CN2390F77,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,Korea,LG,43UH5F-HJ,101INDP00618,"1 HDMI, 1 RGB","43""",2021,Normal 90%,,
321,Boarding Gate ABR Dalam 16R T3-DOM,3U-DOM,Boarding,172.17.149.98,China,HP,Thin Client t640,8CN23909KQ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,Korea,LG,43UP751C0TC,209INQUAP476,2 HDMI,"43""",2022,Normal 90%,,
322,Boarding Gate ABR Depan 17A T3-DOM,3U-DOM,Boarding,172.17.149.100,China,INTELNUC,NUC5CPYH,E000141200320,"1 HDMI, 1 VGA, 1 LAN",8 GB,4 GB,Puppy,2016,Normal 50%,,Korea,LG,43SM5KE-B,110INZY8E013,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 95%,15-01-2026,
323,Boarding Gate ABR Depan 17B T3-DOM,3U-DOM,Boarding,172.17.149.101,China,HP,Thin Client t640,8CN25202G9,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-2-2026,Korea,LG,43SM5KE-B,106INDP3B242,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,15-01-2026,
324,Boarding Gate ABR Dalam 17A T3-DOM,3U-DOM,Boarding,172.17.149.102,China,HP,Thin Client t640,8CN2390F84,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,Korea,LG,43UN731C0TC,109INHZ1U953,2 HDMI,"43""",2022,Normal 90%,,
325,Boarding Gate ABR Dalam 17B T3-DOM,3U-DOM,Boarding,172.17.149.103,China,HP,Thin Client Elite t655,8CG44530PF,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,110INJL8D460,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 95%,15-01-2026,
326,Boarding Gate ABR Dalam 17R T3-DOM,3U-DOM,Boarding,172.17.149.104,China,HP,Thin Client Elite t655,1613631983,"1 HDMI, 1 LAN",120 GB,4 GB,Ubuntu,2016,Normal 50%,,Korea,LG,43LT340C0TB,003INRC6K230,2 HDMI,"43""",2022,Normal 90%,,
328,General Boarding Depan Boarding Gate 3 T3-INT,3U-INT,Boarding,172.17.151.104,.,.,.,8CG40936GN,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Cina,BOE,DV55A-A,D550134AA2Z0600030,"2 HDMI, 1DP, ","55""",2024,Normal 90%,,
329,General Boarding Belokan Pier1 T3-INT,3U-INT,Boarding,172.17.150.93,China,HP,Thin Client t640,8CN32508LN,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Cina,BOE,DV55A-A,D550134AA2Z0600064,"1 HDMI, 2DP, 1DVI","55""",2024,Normal 70%,,
330,General Boarding Depan Boarding Gate 5 Kiri T3-INT,3U-INT,Boarding,172.17.150.133,China,HP,Thin Client t640,1706631313,"1 HDMI, 1 LAN",120 GB,4 GB,Ubuntu,2016,Normal 50%,,Korea,LG,65UH5C,709KCWC13361,"1 HDMI, 1DP, 1DVI","65""",2017,Normal 70%,,
331,General Boarding Depan Boarding Gate 5 Kanan T3-INT,3U-INT,Boarding,172.17.150.134,China,HP,Thin Client Elite t655,8CG42730XY,60 GB,8 GB,Windows 10,2024,Normal 100%,Normal 50%,,Korea,LG,65UH5C,709KCWC13367,"1 HDMI, 1DP, 1DVI","65""",2017,Normal 70%,,
332,General Boarding Travelator Gate 5 KiriT3-INT,3U-INT,Boarding,172.17.150.91,.,.,., 8CN25202GP,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,LG,65UH5C,701KCKJ66717,"1 HDMI, 1DP, 1DVI","65""",2017,Normal 70%,,
333,General Boarding Travelator Gate 5 Kanan T3-INT,3U-INT,Boarding,172.17.150.92,China,HP,Thin Client Elite t655,8CG437277C,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 50%,,Korea,LG,65UH5C,701KCEA66716,"1 HDMI, 1DP, 1DVI","65""",2017,Normal 70%,,
334,General Boarding Depan Boarding Gate 7 Kiri T3-INT,3U-INT,Boarding,172.17.150.198,China,HP,Thin Client t630,8CN84806S0,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30 GB,4 GB,Windows 11,,Normal 50%,,China,BOE,LDV55AAAXX,D550134AA2Z0600053,"2 HDMI, 1DP, ","55""",2025,Normal 100%,,
335,General Boarding Depan Boarding Gate 7 Kanan T3-IN,3U-INT,Boarding,172.17.150.197,.,.,.,,,,,,,Normal 50%,,Korea,LG,55UH5C,807KCPYKY952,"1 HDMI, 1DP, 1DVI","55""",2016,Normal 50%,,
337,General Boarding Depan Boarding Gate 8 T3-INT,3U-INT,Boarding,172.17.151.188,China,HP,Thin Client Elite t655,8CG44530PD,60 GB,8 GB,Windows 10,2025,Normal 100%,Normal 60%,,China,BOE,LDV55AAAXX,D550134AA2Z0600119,"2 HDMI, 1DP, ","55""",2024,Normal 100%,,
338,General Boarding Depan Boarding Gate 9 Kiri T3-INT,3U-INT,Boarding,172.17.151.118,China,HP,Thin Client Elite t655,8CN1010LQ3,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea,LG,65UHSC-BF,709KCFT13363,"1 HDMI, 1DP, 1DVI","65""",2017,Normal 90%,,
339,General Boarding Depan Boarding Gate 9 Kanan T3-INT,3U-INT,Boarding,172.17.151.117,China,HP,Thin Client t640,8CG40936GF,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,China,BOE,SR65AA,MBVE05300010 ,"1 HDMI, 1DP","65""",2022,Normal 100%,,
340,General Boarding Depan Boarding Gate 9-10 Kanan T3-INT,3U-INT,Boarding,172.17.150.193,China,HP,Thin Client Elite t655,8CG5063T80,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,55UH5C-BF,807KCFTKY947,"1 HDMI, 2DP, 1DVI","65""",2017,Normal 90%,,
341,General Boarding Depan Boarding Gate 10 T3-INT,3U-INT,Boarding,172.17.150.194,China,HP,Thin Client Elite t655,8CG40935ZS ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,55SM5KC,705KCHE2R929,"1 HDMI, 2DP, 1DVI","65""",2017,Normal 90%,,
342,General Boarding Depan Boarding Gate 12 T3-DOM Eskalator Display 1,3U-DOM,Boarding,172.17.149.42,China,HP,Thin Client Elite t655,,,,,,,Normal 90%,,Korea,LG,55UH5F,102INYD76530,"3 HDMI, 1DP, 1DVI","55""",2017,Normal 90%,,
