---,LOKASI,TERMINAL,ZONA,IP Address,MINI PC,,,,,,,,,,,MONITOR,,,,,,,,,
,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pengadaan,Kondisi (%),Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pengadaan,Kondisi (%),Status Garansi,
41,Checkin Island A 14 T3-INT,3U-INT,Checkin,172.17.150.69,China,HP,Thin Client t640,8CN32508KR,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,15-08-2026,Korea,LG,43SM5KE,107INLV0V568,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,,
42,Checkin Island A 15 T3-INT,3U-INT,Checkin,172.17.150.68,.,.,.,E000141200245,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,43SM5KE,111INPTAV672,"3 HDMI, 1DP,1DVI-D",43,2023,Normal 90%,05-07-2027,
43,Checkin Island A 16 T3-INT,3U-INT,Checkin,172.17.150.67,China,HP,Thin Client Elite t655,8CG42730XM,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,LG,43UN731C0TC,106INAR77584,"1 HDMI, 1 RGB","43""",2022,Normal 90%,,
44,Checkin Island A 17 T3-INT,3U-INT,Checkin,172.17.150.66,China,HP,Thin Client Elite t655,8CG40935ZC,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,BOE,LDV43AAAXX,D430132AA310200016,3 HDMI,"43""",2023,Normal 90%,,
45,Checkin Island A 18 T3-INT,3U-INT,Checkin,172.17.150.65,China,HP,Thin Client t640,8CN2390F73,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,Korea,LG,43SM5KE-B,111INJL5G308,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
46,Checkin Island A 19 T3-INT,3U-INT,Checkin,172.17.150.64,China,HP,Thin Client t640,8CN1010LPZ,"1HDMI,1VGA",120 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE-B,008INAR6S712,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
47,Checkin Island A 20 T3-INT,3U-INT,Checkin,172.17.150.63,.,.,.,E000141200285,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,LG,43UN731C0TC,109INLV1U888,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
48,Checkin Island A 21 T3-INT,3U-INT,Checkin,172.17.150.62,China,HP,Thin Client t640,8CN32508L0,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SMSKE,107INYD0V562,"3 HDMI, 1DP,1DVI-D","43""",2014,Normal 90%,,
49,Checkin Island A 22 T3-INT,3U-INT,Checkin,172.17.150.61,China,HP,Thin Client t640,8CN23001VB,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,LG,43SM5KE-B,107INWA0V553,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
50,Checkin Island A 23 T3-INT,3U-INT,Checkin,172.17.150.60,.,.,.,Failed By OEM,"1 HDMI, 1 LAN",120 GB,4 GB,Lubuntu,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INBS5G117,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
