,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,FIDS - Display 049,Bagage Breakdown A1 T1A,1A,Breakdown,172.17.26.79,China,INTELNUC,NUC7i3BNH,G6BN82100HCL,"4 USB, 1 LAN, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea Selatan,LG, 43LW300C-TA,610INMF2D371,,"43""",2018,100,,,HDMI,49,,,,
,50,FIDS - Display 050,Bagage Breakdown A2 T1A,1A,Breakdown,172.17.26.80,China,INTELNUC,NUC7i3BNH,G6BN82100H89,"4 USB, 1 LAN, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea Selatan,LG,UA40J5000AKXXD,0AAK3RAH400683D,,"43""",2018,100,,,HDMI,50,,,,
,51,FIDS - Display 051,Bagage Breakdown A3 T1A,1A,Breakdown,172.17.26.81,China,HP,Thin Client Elite t655,8CG5080SCP,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",58GB,8GB,Win 10,2018,100,,Korea Selatan,LG,43M5KD,806KCGWKE407,,"43""",2018,100,,,HDMI,51,,,,
,52,FIDS - Display 052,Bagage Breakdown A4 T1A,1A,Breakdown,172.17.26.82,China,HP,Thin Client t640,8CN1010LQT,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win 10,2018,100,,Korea Selatan,LG,,010INWA4G473,,"43""",2020,110,,,DP,52,,,,
,53,FIDS - Display 053,Bagage Breakdown A5 T1A,1A,Breakdown,172.17.26.83,China,CGEAR,D945GSEJT,Filled By O.E.M,,152GB,4GB,Lubuntu,2018,100,,Korea Selatan,LG,,002INGK39471,,"43""",2020,110,DVI,ü,DVI to VGA,53,,,,
,54,FIDS - Display 054,General Bagage Claim T1A,1A,Baggage,172.17.26.78,China,INTELNUC,NUC7i3BNH,G6BN82100G8J,"4 USB, 1 LAN, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,65UH5C,805KCSFKY198,,"65""",2018,100,HDMI,,HDMI,54,,,,
,55,FIDS - Display 055,Bagage Claim A1 T1A,1A,Baggage,172.17.26.84,China,HP,Thin Client t630,8CN91608GF,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea,LG,55UH5C - B,807KCQXKY908,,"55""",2018,100,DP,ü,VGA TO HDMI,55,,,,
,56,FIDS - Display 056,Bagage Claim A2 T1A,1A,Baggage,172.17.26.85,China,HP,Thin Client t630,8CN83504HX,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea,LG,55UH5C - B,807KCZPKY933,,"55""",2018,100,DP,ü,VGA TO HDMI,56,,,,
,57,FIDS - Display 057,Bagage Claim A3 T1A,1A,Baggage,172.17.26.86,China,CGEAR,D945GSEJT,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",148GB,2GB,lubuntu,2017,95,,Korea,LG,55UH5C - B,807KCWCKY993,,"55""",2018,100,VGA &DVI,,DP TO DP,57,,,,
,58,FIDS - Display 058,Bagage Claim A4 T1A,1A,Baggage,172.17.26.87,China,HP,Thin Client t630,8CN8420LBX,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2017,95,,Korea,LG,55UH5C - B,807KCGWKY935,,"55""",2018,100,VGA &DVI,,DP TO DP,58,,,,
,59,FIDS - Display 059,Bagage Claim A5 T1A,1A,Baggage,172.17.26.88,China,CGEAR,D945GSEJT,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",148GB,4GB,Lubuntu,2012,70,,Korea,LG,55UH5C - B,807KCBDKY997,,"55""",2018,100,VGA &DVI,ü,VGA TO HDMI,59,,,,
,60,FIDS - Display 060,General Arrival Kiri T1A,1A,Arrival,172.17.26.97,China,HP,Thin Client t630,8CN91608HJ,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2019,105,,China,BOE,SR75AA,MBVE05300016,,"75""",2022,120,DP,,DP to HDMI,60,,,,
,61,FIDS - Display 061,General Arrival kanan T1A,1A,Arrival,172.17.26.98,China,HP,Thin Client t630,8CN91608GB,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2019,105,,China,BOE,SR75AA,MBVD07010015 ,,"75""",2022,120,DP,,DP,61,,,,
,62,FIDS - Display 062,Smart Bagage 1 Kiri T1A,1A,Baggage,172.17.26.89,China,HP,Thin Client t630,8CG3452KDR,"3 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win 10,2019,105,,Korea Selatan,LG,,002INWX39457,,"43""",2020,110,HDMI,,HDMI to HDMI,62,,,,
,63,FIDS - Display 063,Smart Bagage 1 Kanan T1A,1A,Baggage,172.17.26.90,China,HP,Thin Client t630,8CG42730Y8,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win 10,2016,90,,Korea Selatan,LG,,010INEW4G468,,"43""",2020,110,HDMI,,HDMI to HDMI,63,,,,
,64,FIDS - Display 064,Smart Bagage 2 Kiri T1A,1A,Baggage,172.17.26.91,China,Asus,VC65,H7MSAC005186,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2016,90,,Korea Selatan,LG,,001INYD8Z538,,"43""",2020,110,HDMI,,HDMI to HDMI,64,,,,
,65,FIDS - Display 065,Smart Bagage 2 Kanan T1A,1A,Baggage,172.17.26.92,China,Asus,VC65,H7MSAC005188,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2016,90,,Korea Selatan,LG,,001INPT1F592,,"43""",2020,110,HDMI,,HDMI to HDMI,65,,,,
,66,FIDS - Display 066,Smart Bagage 3 Kiri T1A,1A,Baggage,172.17.26.93,China,Asus,VC65,H7MSAC005162,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2016,90,,Korea Selatan,LG,,002INTA39353,,"43""",2020,110,HDMI,,HDMI to HDMI,66,,,,
,67,FIDS - Display 067,Smart Bagage 3 Kanan T1A,1A,Baggage,172.17.26.94,China,Asus,VC65,H7MSAC005195,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2016,90,,Korea Selatan,LG,,002INTA39473,,"43""",2020,110,HDMI,,VGA to VGA,67,,,,
,68,FIDS - Display 068,Smart Bagage 4 T1A,1A,Baggage,172.17.26.95,China,INTELNUC,NUC7i3BNH,G6PY734006TM,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,,002INYT39466,,"43""",2020,110,HDMI,,HDMI to HDMI,68,,,,
,69,FIDS - Display 069,Smart Bagage 5 T1A,1A,Baggage,172.17.26.96,China,HP,Thin Client t630,8CN91608L5,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2017,95,,Korea Selatan,LG,,912INHZ3P233,,"43""",2019,105,HDMI,,DP TO HDMI,69,,,,
,TERMINAL 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,71,FIDS - Display 071,Departure Pintu Awak T1B,1B,Departure,172.17.28.31,China,HP,Thin Client t640,8CND480K3X,,60GB,8GB,Win 10,2020,110,,Korea,LG,65UH5C,805KCHEKY193,,"65""",2018,100,DP,,DP TO DP,,2,,,
3,72,FIDS - Display 072,Digital Lounge T1B,Terminal 1B,Departure,172.17.10.180,China,HP,Thin Client t630,8CN9440546,,,,,,,,,,,,,,,,,,,,,,,
4,73,FIDS - Display 073,Checkin Counter 1 T1B,1B,Checkin,172.17.28.35,-,Signage,,,,,,,,,,Korea,LG,43SM5KE,111INRC5G118,DP,"43""",2021,115,HDMI,,HDMI to HDMI,,3,,,
5,74,FIDS - Display 074,Checkin Counter 2 T1B,1B,Checkin,172.17.28.36,-,Signage,,,,,,,,,,Korea,LG,43SM5KD-BH,806KCPYKE424,,"43""",2018,100,HDMI,,HDMI to HDMI,,4,,,
6,75,FIDS - Display 075,Checkin Counter 3 T1B,1B,Checkin,172.17.28.37,-,Signage,,,,,,,,,,Korea,LG,43SM5KD-BH,806KCHEKE425,,"43""",2018,100,HDMI,,HDMI to HDMI,,5,,,
7,76,FIDS - Display 076,Checkin Counter 4 T1B,1B,Checkin,172.17.28.38,-,Signage,,,,,,,,,,Korea,LG,43SM5KD-BH,806KCRNKE398,,"43""",2018,100,HDMI,,HDMI to HDMI,,6,,,
8,77,FIDS - Display 077,Checkin Counter 5 T1B,1B,Checkin,172.17.28.39,China,INTELNUC,NUC7i3BNH,G6BN82100H6U,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,China,BOE,LDV43AAAXX,D430132AA310200036,,"43""",2023,125,HDMI,,HDMI to HDMI,,7,,,
9,78,FIDS - Display 078,Checkin Counter 6 T1B,1B,Checkin,172.17.28.40,-,Signage,,G6BN82100G7C,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCBDKE421,,"43""",2018,100,HDMI,,HDMI to HDMI,,8,,,
10,79,FIDS - Display 079,Checkin Counter 7 T1B,1B,Checkin,172.17.28.41,-,Signage,,G6BN82100H3Q,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCTBKE409,,"43""",2018,100,HDMI,,HDMI to HDMI,,9,,,
11,80,FIDS - Display 080,Checkin Counter 8 T1B,1B,Checkin,172.17.28.42,-,Signage,,G6BN82100J50,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCFTKE443,,"43""",2018,100,HDMI,,HDMI to HDMI,,10,,,
12,81,FIDS - Display 081,Checkin Counter 9 T1B,1B,Checkin,172.17.28.43,-,Signage,,G6BN82100HEH,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCWCKE393,,"43""",2018,100,HDMI,,HDMI to HDMI,,11,,,
13,82,FIDS - Display 082,Checkin Counter 10 T1B,1B,Checkin,172.17.28.44,-,Signage,,G6BN82100G7M,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCGWKE431,,"43""",2018,100,HDMI,,HDMI to HDMI,,12,,,
14,83,FIDS - Display 083,Checkin Counter 11 T1B,1B,Checkin,172.17.28.45,China,INTELNUC,NUC7i3BNH,G6BN82100H7T,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCNLKE391,,"43""",2018,100,HDMI,,HDMI to HDMI,,13,,,
15,84,FIDS - Display 084,Checkin Counter 12 T1B,1B,Checkin,172.17.28.46,-,Signage,,G6BN82100H7E,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,803KCNLQG319,,"43""",2018,100,HDMI,,HDMI to HDMI,,14,,,
16,85,FIDS - Display 085,Checkin Counter 13 T1B,1B,Checkin,172.17.28.47,China,INTELNUC,NUC7i3BNH,G6BN82100H7P,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCEAKE412,,"43""",2018,100,HDMI,,HDMI to HDMI,,15,,,
17,86,FIDS - Display 086,Checkin Counter 14 T1B,1B,Checkin,172.17.28.48,-,Signage,,G6BN82100G73,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCMRKE411,,"43""",2018,100,HDMI,,HDMI to HDMI,,16,,,
18,87,FIDS - Display 087,Checkin Counter 15 T1B,1B,Checkin,172.17.28.49,-,Signage,,G6BN82100GXK,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCQXKE404,,"43""",2018,100,HDMI,,HDMI to HDMI,,17,,,
