,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,243,FIDS - Display 243,Checkin 22 T2D,2D,Checkin,172.17.102.41,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INNG5F967,,"43""",2022,120,"Hdmi, Vga dan DVI",ü,DVI to VGA,,,,,
29,244,FIDS - Display 244,Checkin 23 T2D,2D,Checkin,172.17.102.42,China,HP,Thin Client Elite t655,8CG3452KF5,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win10,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INKH5G181,,"43""",2022,120,"Hdmi, Vga dan DVI",,VGA to VGA,,,,,
30,245,FIDS - Display 245,Checkin 24 T2D,2D,Checkin,172.17.102.42,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INKH5G301,,"43""",2022,120,"Hdmi, Vga dan DVI",ü,DVI to VGA,,,,,
31,246,FIDS - Display 246,General Boarding Shoping Arcade Kiri Atas T2D,2D,Shoping Arcade,172.17.102.43,China,HP,Thin Client t630,8CN91608K7,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30 GB,4 GB,Win10,2018,100,,Korea Selatan,LG,55UH5C-BF,807KCTBKY985,,"55""",2018,100,DVI - HDMI,,DP to HDMI,,,,,
32,247,FIDS - Display 247,General Boarding Shoping Arcade Kiri Bawah T2D,2D,Shoping Arcade,172.17.102.43,,,,,,,,,,,,Korea Selatan,LG,55UH5C-BF,807KCKJKY917,,"55""",2018,100,DVI - HDMI,,DP to HDMI,,,,,
35,250,FIDS - Display 250,General Boarding Central Koridor Kiri  T2D,2D,Shoping Arcade,172.17.102.44,China,HP,Thin Client t640,8CN05302HT,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2020,110,,Korea ,LG,65UH5C-BF,805KCASKY184,,"65""",2018,100,HDMI ,,DP - DP,,,,,
36,251,FIDS - Display 251,General Boarding Central Koridor Kanan T2D,2D,Shoping Arcade,172.17.102.45,China,HP,Thin Client t640,8CN05302J4,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2020,110,,Korea,LG,65UH5C-BF,805KCWCKY209,,"65""",2018,100,HDMI - VGA,,DP - DP,,,,,
37,252,FIDS - Display 252,General Boarding SCP2 Kiri T2D,2D,Shoping Arcade,172.17.102.46,China,HP,Thin Client t640,8CN05302HY,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2020,110,,Korea,LG,65UH5C-BF,805KCGWKY199,,"65""",2018,100,DVI,,DP - DP,,,,,
38,253,FIDS - Display 253,General Boarding SCP2 Kanan T2D,2D,Shoping Arcade,172.17.102.47,China,HP,Thin Client t640,BCN05302JH,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2020,110,,Korea,LG,65UH5C-BF,805KCPYKY192,,"65""",2018,100,DVI,,DP - DP,,,,,
39,254,FIDS - Display 254,Gate D1 T2D,2D,Boarding,172.17.102.48,China,HP,Thin Client t630,8CN91608KJ,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,55UH5C,807KCUKKY942,,"55""",2018,100,"DP , HDMI",,DP to DP,,,,,
40,255,FIDS - Display 255,Gate D2 T2D,2D,Boarding,172.17.102.49,China,HP,Thin Client t640,8CN05302JN,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2020,110,,China,BOE,LDV55AAAXX,D550134AA471600009,,"55""",2025,135,HDMI,,DP to DP,,,,,
41,256,FIDS - Display 256,Gate D3 T2D,2D,Boarding,172.17.102.50,China,HP,Thin Client t630,8CN91608G4,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,China,BOE,LDV55AAAXX,D550134AA471600020,,"55""",2025,135,HDMI,,DP to DP,,,,,
42,257,FIDS - Display 257,Gate D4 T2D,2D,Boarding,172.17.102.51,China,HP,Thin Client t640,8CN05302HH,"2 DP, 7 USB Type A, 1 LAN",60GB,30GB,Win10,2020,110,,Korea Selatan,LG,55UH5C,807KCQXKY980,,"55""",2018,100,"HDMI, DP",,DP to DP,,,,,
43,258,FIDS - Display 258,Gate D5 T2D,2D,Boarding,172.17.102.52,China,HP,Thin Client t630,8CN91608FV,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,55UH5C,807KCQXKY980,,"55""",2018,100,DP TO HDMI,,DP to DP,,,,,
44,259,FIDS - Display 259,Gate D6 T2D,2D,Boarding,172.17.102.53,China,HP,Thin Client t630,8CN8420LCK,"2 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,China,BOE,LDV55AAAXX,D550134AA2Z0600143,,"55""",2022,100,HDMI,,DP to HDMI,,,,,
45,260,FIDS - Display 260,Gate D7 T2D,2D,Boarding,172.17.102.54,China,HP,Thin Client t640,8CN1010LMV,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2020,110,,Korea Selatan,LG,55UH5C,807KCBDKY973,,"55""",2018,100,"DP, HDMI",,DP to DP,,,,,
46,261,FIDS - Display 261,Gawangan 1 T2D,2D,Baggage,172.17.102.62,China,HP,Thin Client t630,8CN944054Y,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea Selatan,LG,65UH5C - B,805KCKJKY205,,"65""",2018,100,,,DP to DP,,,,,
47,262,FIDS - Display 262,Gawangan 2 T2D,2D,Baggage,172.17.102.63,China,HP,Thin Client t630,8CN944055N,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea Selatan,LG,65UH5E -B,909KCWCPW225,,"65""",2018,100,,,DP to DP,,,,,
48,263,FIDS - Display 263,Gawangan 3 T2D,2D,Baggage,172.17.102.64,China,HP,Thin Client Elite t655,8CG4372786,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea Selatan,LG,65UH5E -B,909KCJZPW228,,"65""",2018,100,,,DP to DP,,,,,
49,264,FIDS - Display 264,Gawangan 4 T2D,2D,Baggage,172.17.102.65,China,HP,Thin Client Elite t655,8CG437278N,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea Selatan,LG,65UH5E -B,909KCMRPW219,,"65""",2019,105,,,DP to DP,,,,,
50,265,FIDS - Display 265,General Breakdown T2D,2D,Breakdown,172.17.102.74,China,HP,Thin Client t640,8CN0480K3Y,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Jepang,Sony,,5001286,,"65""",2020,110,,,DP to HDMI,,,,,
51,266,FIDS - Display 266,Baggage Breakdown 01 T2D,2D,Breakdown,172.17.102.70,China,HP,Thin Client Elite t655,Filled By O.E.M,"1 VGA, 1 DPI, 3 USB Type A, 1 LAN",160GB,1GB,Lubuntu,2016,90,,Korea Selatan,LG,43LJ500T-TA,707INYD1U002,,"43""",2016,90,,ü,VGA to HDMI,,,,,
52,267,FIDS - Display 267,Baggage Breakdown 02 T2D,2D,Breakdown,172.17.102.71,China,CGEAR,D945GSEJT,8CN030066M,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2021,115,,Korea Selatan,LG,32LM550BPTA,109INRC1C006,,"32""",2016,90,DP,,DP to HDMI,,,,,
53,268,FIDS - Display 268,Baggage Breakdown 03 T2D,2D,Breakdown,172.17.102.72,China,HP,Thin Client t630,8CN91608HW,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea Selatan,LG,32LM550BPTA,104INPT7W064,,"32""",2016,90,,,DP to HDMI,,,,,
54,269,FIDS - Display 269,Baggage Breakdown 04 T2D,2D,Breakdown,172.17.102.73,China,LENOVO,Think Centre M53,PC03CBMA,"1 VGA,1 HDMI, 1LAN",500GB,2GB,Lubuntu,2017,95,,Korea Selatan,LG,42LS35A,502KCUK67286,,"42""",2017,95,,,VGA to VGA,,,,,
55,270,FIDS - Display 270,General Baggage Claim T2D,2D,Baggage,172.17.102.61,China,LENOVO,ThinkEdge 12NLS08R00,PF63GHH0,"1 VGA, 1 HDMI, 6 USB Type A, 1 LAN",160GB,1GB,Wundows,2012,70,,Korea,LG,65UH5C,805KCVUKY191,,"65""",2018,100,,ü,VGA to HDMI,,,,,
56,271,FIDS - Display 271,Baggage Claim D1 Kiri T2D,2D,Baggage,172.17.102.66,Taiwan,FUJITECH,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2017,95,,Korea,LG,43LT340C0TB,003INDP6K218,,"43""",2020,110,,,VGA to VGA,,,,,
57,272,FIDS - Display 272,Baggage Claim D1 Kanan T2D,2D,Baggage,172.17.102.67,,,,,,,,,,,,Korea,LG,43LT340C0TB,003INJL6K252,,"43""",2020,110,,,VGA to VGA,,,,,
58,273,FIDS - Display 273,Baggage Claim D2 Kiri T2D,2D,Baggage,172.17.102.68,China,HP,Thin Client t630,8CN91608K8,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea,LG,43LT340C0TB,003INSE6K166,,"43""",2020,110,,,DP TO HDMI,,,,,
59,274,FIDS - Display 274,Baggage Claim D2 Kanan T2D,2D,Baggage,172.17.102.69,,,,,,,,,,,,Korea,LG,43LT340C0TB,002INLJ39472,,"43""",2020,110,,,DP TO HDMI,,,,,
60,275,FIDS - Display 275,Baggage Claim D3 Kiri T2D,2D,Baggage,172.17.70.93,China,HP,Thin Client Elite t655,8CG4372783,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Win10,2025,135,,Korea Selatan,LG,43LT340C0TB,003INBS6K157,,"43""",2020,110,HDMI - VGA,,DP TO HDMI,,,,,
61,276,FIDS - Display 276,Baggage Claim D3 Kanan T2D,2D,Baggage,172.17.70.94,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-B,111INXJ5G114,,"43""",2021,115,DP,,DP TO HDMI,,,,,
62,277,FIDS - Display 277,Baggage Claim D4 Kiri T2D,2D,Baggage,172.17.70.95,China,HP,Thin Client t630,8CN91608JY,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2017,95,,Korea Selatan,LG,43LT340C0TB,003INSE6K214,,"43""",2020,110,HDMI - VGA,,DP TO HDMI,,,,,
63,278,FIDS - Display 278,Baggage Claim D4 Kanan T2D,2D,Baggage,172.17.70.96,,,,,,,,,,,,Korea Selatan,LG,43LT340C0TB,003INJL6K156,,"43""",2020,110,HDMI,,DP TO HDMI,,,,,
64,279,FIDS - Display 279,Baggage Claim D1 New T2D,2D,Baggage,172.16.14.95,China,HP,Thin Client t640,8CN2490GQZ,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea Selatan,LG,55UQ751C0SF,211INDP7G610,,55,2022,120,,,DP TO HDMI,,,,,
65,280,FIDS - Display 280,Baggage Claim D2 New T2D,2D,Baggage,172.16.14.96,China,HP,Thin Client t640,8CN2490GNZ,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea Selatan,LG,55UQ751C0SF,211INSE7G630,,55,2022,120,,,DP TO HDMI,,,,,
66,281,FIDS - Display 281,Baggage Claim D3 New T2D,2D,Baggage,172.16.14.97,China,HP,Thin Client t640,8CN2490GRI,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea Selatan,LG,55UQ751C0SF,211INMF7G611,,55,2022,120,,,DP TO HDMI,,,,,
67,282,FIDS - Display 282,Baggage Claim D4 New T2D,2D,Baggage,172.16.14.100,China,HP,Thin Client t640,8CN2490GQS,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea Selatan,LG,55UQ751C0SF,211INZY7G605,,55,2022,120,,,DP TO HDMI,,,,,
68,283,FIDS - Display 283,General Arrival Meeting Point T2D,2D,Arrival,172.17.102.60,China,ZOTAC,Zotac,Filled By O.E.M,"1 VGA, 1 HDMI, 1 Lan",500GB,4GB,Lubuntu,2012,70,,Korea,LG,65UH5C,805KCVUKY167,,"65""",2012,70,HDMI,,HDMI to HDMI,,,,,
69,284,FIDS - Display 284,General Arrival Garnisum Kiri T2D,2D,Arrival,172.17.102.57,China,HP,Thin Client Elite t655,8CG44530PB,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2025,135,,Korea Selatan,LG,32LS5700-TB,205INUB37670,,"32""",2012,70,VGA dan DP,, VGA to VGA,,,,,
70,285,FIDS - Display 285,General Arrival Garnisum Kanan T2D,2D,Arrival,172.17.102.57,,,,,,,,,,-9990,,Korea Selatan,LG,32LS5700-TB,205INBS54453,,"32""",2012,70,,,DP TO HDMI,,,,,
71,286,FIDS - Display 286,Kanopi T2DE,2D,Arrival,172.17.70.64,China,LENOVO,ThinkEdge SE10,PF63PC2B,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN
",64GB,8GB,Win 11,2025,135,,Korea,LG,65UH5C,807KCGWP1775,,"65""",2018,100,VGA,ü,VGA to HDMI,,,,,
72,287,FIDS - Display 287,Arrival Kiri T2D,2D,Arrival,172.17.102.59,China,INTELNUC,NUC7i3BNH,G6BN82100GW2,"1 HDMI, 4 Type A, 1 LAN",320GB,4GB,Lubuntu,2018,100,,Korea,LG,SR75AA,MBVD07010011,,"75""",2018,100,DP,,HDMI to HDMI,,,,,
73,288,FIDS - Display 288,Arrival Kanan T2D,2D,Arrival,172.17.102.58,China,INTELNUC,NUC7i3BNH,G6BN82100HFM,"1 HDMI, 4 Type A, 1 LAN",320GB,4GB,Lubuntu,2018,100,,Korea,LG,75XF3C - B,807KCFTND395,,"75""",2018,100,DP,,HDMI to HDMI,,,,,
,289,FIDS - Display 289,TERMINAL 2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,290,FIDS - Display 290,General Departure Meeting Point AtasT2E,2E,Departure,172.17.70.65,China,HP,Thin Client Elite t655, 8CG5080SD9,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win 10,2024,100,,Korea,LG,65UH5C-BF,805KCFTKY163,,"65""",2018,100,VGA & DVI,,HDMI to HDMI,,,,,
2,291,FIDS - Display 291,General Departure Central Corridor 2E Kiri,2E,Departure,172.17.70.49,China,INTELNUC,NUC7i3BNH,G6BN82100HCH,"1 HDMI, 4 Type A, 1 LAN",320GB,4GB,Lubuntu,2012,70,,Korea,LG,65UH5C-BF,805KCSFKY174,,"65""",2018,100,VGA & DVI,,HDMI to HDMI,,,,,
3,292,FIDS - Display 292,General Departure Central Corridor 2E Kanan,2E,Departure,172.17.70.48,China,HP,Thin Client t640,8CN1010LNX,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea,LG,65UH5C-BF,805KCUKKY206,,"65""",2018,100,HDMI,,DP to DP,,,,,
4,293,FIDS - Display 293,General Checkin SCP Gate 3 Atas T2E,2E,Departure,172.17.70.59,China,HP,Thin Client t640,8CN0480K3M,"2 DP, 1 LAN",60 GB,8 GB,Win10,2018,100,,Korea,LG,65UH5C-BF,807KCEANW068,,"65""",2018,100,DP,,DP TO HDMI,,,,,
5,294,FIDS - Display 294,General Checkin SCP Gate 3 Bawah T2E,2E,Departure,172.17.70.59,,,,,,,,Win10,2018,100,,Korea,LG,65UH5C-BF,807KCTBNW065,,"65""",2018,100,DP,,DP,,,,,
6,295,FIDS - Display 295,General Checkin SCP Gate 4 Atas T2E,2E,Departure,172.17.70.60,China,HP,Thin Client Elite t655,8CG4372780,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Win10,2025,135,,Korea,LG,,807KCDGNW066,,"65""",2018,100,HDMI& VGA,,HDMI to HDMI,,,,,
7,296,FIDS - Display 296,General Checkin SCP Gate 4 Bawah T2E,2E,Departure,172.17.70.60,,,,,,,,,,,,Korea,LG,,807KCLHNW064,,"65""",2018,100,HDMI& VGA,ü,VGA to HDMI,,,,,
8,297,FIDS - Display 297,Departure Depan Gate 3 T2E,2E,Departure,172.17.70.62,China,HP,Thin Client Elite t655,8CG40935ZQ,"DP, VGA",60 GB,8 GB,Win 10,2024,130,,China,BOE,,MBVE05300019,,"75""",2024,100,HDMI,,Signage,,,,,
9,298,FIDS - Display 298,Departure Depan Gate 4 T2E,2E,Departure,172.17.70.63,China,LENOVO,ThinkEdge SE10,PF63GKYD,,,,Lubuntu,2017,95,,China,BOE,SR75AA,MBVE05300014,,"75""",2024,100,HDMI,ü,VGA to HDMI,,,,,
10,299,FIDS - Display 299,Digital Lounge T2E,2E,Departure,172.17.70.61,China,GIGABYTE,GB-BSi3H-6100,1633630397,"1 HDMI, 1 LAN",120 GB,2 GB,Lubuntu,2018,100,,Korea ,lG,65UJ652T-TB,803INXJ2D578,,"65""",2018,100,HDMI,,HDMI TO HDMI,,,,,
11,300,FIDS - Display 300,Checkin 25 T2E,2E,Checkin,172.17.70.69,China,HP,Thin Client Elite t655,8CG42730YL,"1 VGA, 2 DP",60 GB,8 GB,Win 10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INPT5G144,,"43""",2022,120,HDMI& VGA,,VGA TO VGA,,,,,
12,301,FIDS - Display 301,Checkin 26 T2E,2E,Checkin,172.17.70.69,,,,,,,,Win 10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INZYAV581,,"43""",2022,120,HDMI& VGA,,HDMI TO HDMI,,,,,
13,302,FIDS - Display 302,Checkin 27 T2E,2E,Checkin,172.17.70.70,China,HP,Thin Client t630,8CN83504KL,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INDP5G298,,"43""",2022,120,HDMI& VGA,ü,DP TO HDMI,,,,,
14,303,FIDS - Display 303,Checkin 28 T2E,2E,Checkin,172.17.70.70,,,,,,,,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INBSAV573,,"43""",2022,120,HDMI& VGA,ü,DP TO HDMI,,,,,
15,304,FIDS - Display 304,Checkin 29 T2E,2E,Checkin,172.17.70.71,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",320GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INLVAV584,,"43""",2022,120,HDMI& VGA,,VGA to VGA ,,,,,
16,305,FIDS - Display 305,Checkin 30 T2E,2E,Checkin,172.17.70.71,,,,,,,,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INEW5G300,,"43""",2022,120,HDMI& VGA,,HDMI to HDM,,,,,
17,306,FIDS - Display 306,Checkin 31 T2E,2E,Checkin,172.17.70.72,China,HP,Thin Client Elite t655,8CG3452KDL,"1 VGA, 2 DP",60GB,8GB,Win10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INQU5G292,,"43""",2022,120,VGA DAN HDMI ,,VGA TO VGA,,,,,
18,307,FIDS - Display 307,Checkin 32 T2E,2E,Checkin,172.17.70.72,,,,,,,,Win10,2024,130,,Korea Selatan,LG,43SM5KE-BJ,111INKH5G109,,"43""",2022,120,VGA DAN HDMI ,,HDMI TO HDMI,,,,,
19,308,FIDS - Display 308,Checkin 33 T2E,2E,Checkin,172.17.70.73,China,HP,Thin Client t630,8CN8210B85,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INPT5G096,,"43""",2022,120,VGA DAN HDMI ,ü,DP TO HDMI,,,,,
20,309,FIDS - Display 309,Checkin 34 T2E,2E,Checkin,172.17.70.73,,,,,,,,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INNG5G255,,"43""",2022,120,VGA DAN HDMI ,ü,DP TO HDMI,,,,,
21,310,FIDS - Display 310,Checkin 35 T2E,2E,Checkin,172.17.70.74,China,HP,Thin Client t630,8CN83504LV,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INLV5G296,,"43""",2022,120,VGA DAN HDMI ,,VGA TO VGA,,,,,
22,311,FIDS - Display 311,Checkin 36 T2E,2E,Checkin,172.17.70.74,,,,,,,,Win10,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INLV5G176,,"43""",2022,120,VGA DAN HDMI ,,HDMI TO HDMI,,,,,
23,312,FIDS - Display 312,Checkin 37 T2E,2E,Checkin,172.17.70.75,China,HP,Thin Client t630,8CN8210B9L,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INUBAV590,,"43""",2022,120,VGA DAN HDMI ,,VGA TO VGA,,,,,
24,313,FIDS - Display 313,Checkin 38 T2E,2E,Checkin,172.17.70.75,,,,,,,,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INJL5G140,,"43""",2022,120,VGA DAN HDMI ,ü,DP TO HDMI,,,,,
25,314,FIDS - Display 314,Checkin 39 T2E,2E,Checkin,172.17.70.76,China,HP,Thin Client t630,8CN1010LPD,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win10,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INCN5G195,,"43""",2022,120,VGA DAN HDMI ,,VGA TO VGA,,,,,
26,315,FIDS - Display 315,Checkin 40 T2E,2E,Checkin,172.17.70.76,,,,,,,,Win10,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INUB5G110,,"43""",2022,120,VGA DAN HDMI ,,HDMI TO HDMI,,,,,
27,316,FIDS - Display 316,Checkin 41 T2E,2E,Checkin,172.17.70.77,China,HP,Thin Client t630,8CN91608FT,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INSEAV582,,"43""",2022,120,VGA DAN HDMI ,,VGA to VGA,,,,,
28,317,FIDS - Display 317,Checkin 42 T2E,2E,Checkin,172.17.70.77,,,,,,,,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INSE5G366,,"43""",2022,120,VGA DAN HDMI ,ü,DVI to VGA,,,,,
29,318,FIDS - Display 318,Checkin 43 T2E,2E,Checkin,172.17.70.78,China,HP,Thin Client t630,8CN05302HF,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INNG5G039,,"43""",2022,120,VGA DAN HDMI ,,VGA to VGA,,,,,
30,319,FIDS - Display 319,Checkin 44 T2E,2E,Checkin,172.17.70.78,,,,,,,,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INMF5G179,,"43""",2022,120,VGA DAN HDMI ,ü,DVI to VGA,,,,,
31,320,FIDS - Display 320,Checkin 45 T2E,2E,Checkin,172.17.70.79,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",320GB,4GB,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INZY5G365,,"43""",2022,120,VGA DAN HDMI ,ü,DVI to VGA,,,,,
32,321,FIDS - Display 321,Checkin 46 T2E,2E,Checkin,172.17.70.79,,,,,,,,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INBS5G093,,"43""",2022,120,VGA DAN HDMI ,,VGA to VGA,,,,,
33,322,FIDS - Display 322,Checkin 47 T2E,2E,Checkin,172.17.70.80,China,HP,Thin Client Elite t655,8CG437278V,"1 VGA, 3 DP",60 GB,8 GB,Win 10,2025,135,,Korea Selatan,LG,43SM5KE-BJ,111INRC5G094,,"43""",2022,120,VGA DAN HDMI ,,vga to vga,,,,,
34,323,FIDS - Display 323,Checkin 48 T2E,2E,Checkin,172.17.70.80,,,,,,,,Win 10,2025,135,,Korea Selatan,LG,43SM5KE-BJ,111INEW5G132,,"43""",2022,120,VGA DAN HDMI ,,hdmi to hdmi,,,,,
35,324,FIDS - Display 324,Checkin 49 T2E,2E,Checkin,172.17.70.81,China,HP,Thin Client t630,8CN1010LNH,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30 GB,4GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INFK5G307,,"43""",2022,120,VGA DAN HDMI ,,HDMI,,,,,
36,325,FIDS - Display 325,Checkin 50 T2E,2E,Checkin,172.17.70.81,,,,,,,,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INVM5G143,,"43""",2022,120,VGA DAN HDMI ,ü,VGA TO HDMI,,,,,
37,326,FIDS - Display 326,Checkin 51 T2E,2E,Checkin,172.17.70.82,China,FUJITECH,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INNG5G135,,"43""",2022,120,VGA DAN HDMI ,,DVI,,,,,
38,327,FIDS - Display 327,Checkin 52 T2E,2E,Checkin,172.17.70.82,,,,,,,,,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INAR5G256,,"43""",2022,120,VGA DAN HDMI ,,HDMI,,,,,
39,328,FIDS - Display 328,Checkin 53 T2E,2E,Checkin,172.17.70.83,China,FUJITECH,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INVM5G287,,"43""",2022,120,VGA DAN HDMI ,,VGA,,,,,
40,329,FIDS - Display 329,Checkin 54 T2E,2E,Checkin,172.17.70.83,,,,,,,,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INHZ5G145,,"43""",2022,120,VGA DAN HDMI ,,HDMI,,,,,
41,330,FIDS - Display 330,Checkin 55 T2E,2E,Checkin,172.17.70.84,China,HP,Thin Client Elite t655,8CG5080SD8,"3 DP, 6 USB Type A, 1 LAN",60 GB,8GB,Win10,2023,125,,Korea Selatan,LG,43SM5KE-BJ,111INZY5G2983,,"43""",2022,120,VGA DAN HDMI ,,DVI,,,,,
42,331,FIDS - Display 331,Checkin 56 T2E,2E,Checkin,172.17.70.84,,,,,,,,Win10,2023,125,,Korea Selatan,LG,43SM5KE-BJ,111INXJAV570,,"43""",2022,120,VGA DAN HDMI ,,HDMI,,,,,
43,332,FIDS - Display 332,Checkin 57 T2E,2E,Checkin,172.17.70.85,China,HP,Thin Client Elite t655,8CG42730XZ,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",60GB,8GB,Win10,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INRCAV574,,"43""",2022,120,VGA DAN HDMI ,,DVI,,,,,
44,333,FIDS - Display 333,Checkin 58 T2E,2E,Checkin,172.17.70.85,,,,,,,,Win10,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INXJ5G138,,"43""",2022,120,VGA DAN HDMI ,,VGA,,,,,
